year,month,country_1_iso3,country_2_iso3,avg_tone,article_count,goldstein_scale_avg
2025,11,RUS,MAR,2.26628895184137,2,8.0
2025,11,PRY,EUR,4.71976401179941,1,1.0
2025,11,TJK,UZB,0.0,1,1.0
2025,11,SVK,IRL,2.20588235294117,2,3.4
2025,11,UZB,USA,3.05343511450382,1,1.9
2025,11,BLR,BLR,-0.29668835443375663,10,2.0999999999999996
2025,11,OMN,ESP,4.6448087431694,2,1.9
2025,11,MAR,BEL,2.26628895184137,1,3.5
2025,11,UKR,BGR,-6.98924731182796,1,-2.0
2025,11,CMR,AFR,1.06870229007633,1,3.4
2025,11,CZE,VNM,3.8549429264626522,5,1.9
2025,11,FIN,LTU,2.37190861705667,4,2.8
2025,11,KWT,SSD,5.58035714285714,1,0.0
2025,11,TUN,AFR,0.41666666666667,1,7.0
2025,11,ESP,IRL,-3.70370370370371,1,2.8
2025,11,VNM,GBR,3.09423347398031,2,3.45
2025,11,HND,NIC,-1.2186535232627451,2,-3.1000000000000005
2025,11,ISR,THA,1.39275766016713,1,-5.0
2025,11,ARE,SAS,4.85436893203884,2,3.4
2025,11,SGP,AGO,2.4896265560166,6,2.3499999999999996
2025,11,GRC,DNK,-4.59183673469388,2,-4.0
2025,11,GEO,UKR,-8.94941634241245,2,3.0
2025,11,ISR,GHA,1.16772823779193,1,6.0
2025,11,FRA,VUT,8.4375,3,0.0
2025,11,AUS,AUS,-2.0845054660265294,143,0.7139860139860138
2025,11,SWE,UKR,-0.6949316266579766,12,4.45
2025,11,ARE,AZE,-1.192494481236202,5,-1.4000000000000004
2025,11,VCT,AUS,-1.85528756957329,1,3.4
2025,11,IRL,EUR,-1.7333771951637424,8,0.04999999999999982
2025,11,PSE,CAN,-1.78875638841567,1,7.0
2025,11,NGA,USA,-3.1714338488585594,33,0.9636363636363634
2025,11,POL,AFG,-1.64319248826291,2,0.0
2025,11,JPN,ISR,2.047829547224003,7,1.6857142857142857
2025,11,SYR,IRN,-2.429069064577845,4,-5.200000000000001
2025,11,EGY,TUN,-0.62597809076682,3,-5.0
2025,11,RWA,DJI,4.958360727591495,8,5.9375
2025,11,IRQ,GBR,-4.956345468003494,7,-3.4285714285714284
